STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        555;19210201;19210228;    5;   -999;    18.0;-999;-999;eor
        555;19210301;19210331;    5;   -999;    32.0;-999;-999;eor
        555;19210401;19210430;    5;   -999;    31.0;-999;-999;eor
        555;19210501;19210531;    5;   -999;    51.0;-999;-999;eor
        555;19210601;19210630;    5;   -999;    58.0;-999;-999;eor
        555;19210701;19210731;    5;   -999;    31.0;-999;-999;eor
        555;19210801;19210831;    5;   -999;    36.0;-999;-999;eor
        555;19210901;19210930;    5;   -999;    42.0;-999;-999;eor
        555;19211001;19211031;    5;   -999;    30.0;-999;-999;eor
        555;19211101;19211130;    5;   -999;    23.0;-999;-999;eor
        555;19211201;19211231;    5;   -999;    68.0;-999;-999;eor
        555;19220101;19220131;    5;   -999;    62.0;-999;-999;eor
        555;19220201;19220228;    5;   -999;    73.0;-999;-999;eor
        555;19220301;19220331;    5;   -999;    45.0;-999;-999;eor
        555;19220401;19220430;    5;   -999;    74.0;-999;-999;eor
        555;19220501;19220531;    5;   -999;    25.0;-999;-999;eor
        555;19220601;19220630;    5;   -999;    29.0;-999;-999;eor
        555;19220701;19220731;    5;   -999;    59.0;-999;-999;eor
        555;19220801;19220831;    5;   -999;    62.0;-999;-999;eor
        555;19220901;19220930;    5;   -999;   103.0;-999;-999;eor
        555;19221001;19221031;    5;   -999;    55.0;-999;-999;eor
        555;19221101;19221130;    5;   -999;    67.0;-999;-999;eor
        555;19221201;19221231;    5;   -999;    80.0;-999;-999;eor
        555;19230101;19230131;    5;   -999;    64.0;-999;-999;eor
        555;19230201;19230228;    5;   -999;    60.0;-999;-999;eor
        555;19230301;19230331;    5;   -999;    47.0;-999;-999;eor
        555;19230401;19230430;    5;   -999;    29.0;-999;-999;eor
        555;19230501;19230531;    5;   -999;   158.0;-999;-999;eor
        555;19230601;19230630;    5;   -999;    83.0;-999;-999;eor
        555;19230701;19230731;    5;   -999;    61.0;-999;-999;eor
        555;19230801;19230831;    5;   -999;    88.0;-999;-999;eor
        555;19230901;19230930;    5;   -999;    56.0;-999;-999;eor
